 34
** Atomic data from version 6 of the CHIANTI database **
%observed energy levels: Kelly, R.L., 1987, J.Phys.Chem.Ref.Data 16, Suppl. 1
%theoretical energy levels:  Connor Ballance (private communications)
%comment: An R-matrix with pseudostates He^+ calculation   1s-5g
     Degenerate transitions removed within LS coupling scheme

%filename: he_2.wgfa
%observed energy levels: Kelly, R.L., 1987, J.Phys.Chem.Ref.Data 16, Suppl. 1.     
% A values: Parpia, F.A., Johnson, W.R., 1972, Phys.Rev.A, 26, 1142.
%oscillator strengths: Wiese, W.L., Smith, M.W., Glennon, B.M., 1966, Atomic Transition Probabilities, NSRDS-NBS-4.
%note: Wiese's oscillator strengths are hydrogenic
%produced as part of the Arcetri/Cambridge/NRL 'CHIANTI' atomic data base collaboration
%
%   K.P.Dere 1995 

%filename: he_2.splups
%theoretical energy levels:  Connor Ballance (private communications)
%oscillator strengths:  Wiese, W. L., Smith, M. W., and Glennon, B. M., 1966, Atomic Transition Probabilities, NSRDS-NBS-4.
%comment:  hydrogenic f values
%collision strengths:  Connor Ballance (private communications)
%comment: An R-matrix with pseudostates He^+ calculation   1s-5g
     Degenerate transitions removed within LS coupling scheme

     L=0-11     exchange calculation
     L=12-60    non-exchange calculation + top up

     (Connor Ballance - 28th June 2003)
     Degenerate transitions removed within LS coupling scheme
  0  0   2.11e-02
  0  0   2.23e-02
  0  0   2.37e-02
  0  0   2.53e-02
  0  0   2.80e-02
  0  0   3.19e-02
  0  0   3.69e-02
  0  0   4.34e-02
  0  0   5.15e-02
  0  0   6.09e-02
  0  0   7.22e-02
  0  0   8.66e-02
  1  7   3.68e-02
  0  0   3.68e-02
  0  0   3.69e-02
  0  0   3.69e-02
  0  0   3.70e-02
  0  0   3.72e-02
  0  0   3.74e-02
  0  0   3.77e-02
  0  0   3.83e-02
  0  0   3.91e-02
  0  0   4.04e-02
  0  0   4.22e-02
  0  0   4.46e-02
  0  0   4.74e-02
  0  0   5.07e-02
  0  0   5.60e-02
  0  0   6.39e-02
  0  0   7.39e-02
  0  0   8.69e-02
  0  0   1.03e-01
  0  0   1.22e-01
  0  0   1.45e-01
  0  0   1.73e-01
  1  8   1.72e-02
  0  0   1.72e-02
  0  0   1.72e-02
  0  0   1.72e-02
  0  0   1.72e-02
  0  0   1.71e-02
  0  0   1.71e-02
  0  0   1.70e-02
  0  0   1.69e-02
  0  0   1.67e-02
  0  0   1.65e-02
  0  0   1.61e-02
  0  0   1.55e-02
  0  0   1.47e-02
  0  0   1.36e-02
  0  0   1.26e-02
  0  0   1.20e-02
  0  0   1.18e-02
  0  0   1.15e-02
  0  0   1.14e-02
  0  0   1.16e-02
  0  0   1.21e-02
  0  0   1.25e-02
  1  9   2.58e-02
  0  0   2.58e-02
  0  0   2.58e-02
  0  0   2.58e-02
  0  0   2.57e-02
  0  0   2.57e-02
  0  0   2.56e-02
  0  0   2.55e-02
  0  0   2.54e-02
  0  0   2.51e-02
  0  0   2.47e-02
  0  0   2.41e-02
  0  0   2.32e-02
  0  0   2.20e-02
  0  0   2.05e-02
  0  0   1.90e-02
  0  0   1.80e-02
  0  0   1.76e-02
  0  0   1.72e-02
  0  0   1.71e-02
  0  0   1.74e-02
  0  0   1.81e-02
  0  0   1.88e-02
  2  5   4.40e-01
  0  0   4.40e-01
  0  0   4.41e-01
  0  0   4.42e-01
  0  0   4.43e-01
  0  0   4.45e-01
  0  0   4.49e-01
  0  0   4.55e-01
  0  0   4.64e-01
  0  0   4.79e-01
  0  0   5.01e-01
  0  0   5.35e-01
  0  0   5.87e-01
  0  0   6.63e-01
  0  0   7.70e-01
  0  0   9.12e-01
  0  0   1.08e+00
  0  0   1.27e+00
  0  0   1.45e+00
  0  0   1.64e+00
  0  0   1.86e+00
  0  0   2.08e+00
  0  0   2.26e+00
  2  6   5.80e-01
  0  0   5.80e-01
  0  0   5.80e-01
  0  0   5.81e-01
  0  0   5.81e-01
  0  0   5.81e-01
  0  0   5.82e-01
  0  0   5.83e-01
  0  0   5.85e-01
  0  0   5.88e-01
  0  0   5.93e-01
  0  0   6.01e-01
  0  0   6.17e-01
  0  0   6.48e-01
  0  0   7.10e-01
  0  0   8.28e-01
  0  0   1.02e+00
  0  0   1.31e+00
  0  0   1.70e+00
  0  0   2.20e+00
  0  0   2.80e+00
  0  0   3.51e+00
  0  0   4.29e+00
  2  7   1.15e+00
