%  E. Landi - Nov 2009
  1 12   1.09e-03
  0  0   1.09e-03
  0  0   1.09e-03
  0  0   1.09e-03
  0  0   1.09e-03
  0  0   1.09e-03
  0  0   1.09e-03
  0  0   1.09e-03
  0  0   1.08e-03
  0  0   1.08e-03
  0  0   1.08e-03
  0  0   1.08e-03
  0  0   1.08e-03
  0  0   1.07e-03
  0  0   1.06e-03
  0  0   1.05e-03
  0  0   1.04e-03
  0  0   1.02e-03
  0  0   9.94e-04
  0  0   9.71e-04
  0  0   9.54e-04
  0  0   9.48e-04
  0  0   9.53e-04
  1 13   1.11e-04
  0  0   1.11e-04
  0  0   1.11e-04
  0  0   1.11e-04
  0  0   1.11e-04
  0  0   1.12e-04
  0  0   1.12e-04
  0  0   1.13e-04
  0  0   1.15e-04
  0  0   1.17e-04
  0  0   1.20e-04
  0  0   1.25e-04
  0  0   1.32e-04
  0  0   1.42e-04
  0  0   1.57e-04
  0  0   1.74e-04
  0  0   1.92e-04
  0  0   2.07e-04
  0  0   2.11e-04
  0  0   2.02e-04
  0  0   1.84e-04
  0  0   1.62e-04
  0  0   1.38e-04
  1 14   2.16e-04
  0  0   2.16e-04
  0  0   2.16e-04
  0  0   2.16e-04
  0  0   2.17e-04
  0  0   2.17e-04
  0  0   2.18e-04
  0  0   2.19e-04
  0  0   2.21e-04
  0  0   2.23e-04
  0  0   2.27e-04
  0  0   2.33e-04
  0  0   2.43e-04
  0  0   2.56e-04
  0  0   2.75e-04
  0  0   2.99e-04
  0  0   3.26e-04
  0  0   3.47e-04
  0  0   3.54e-04
  0  0   3.37e-04
  0  0   3.02e-04
  0  0   2.65e-04
  0  0   2.30e-04
  1 15   2.80e-04
  0  0   2.81e-04
  0  0   2.81e-04
  0  0   2.81e-04
  0  0   2.81e-04
  0  0   2.82e-04
  0  0   2.83e-04
  0  0   2.85e-04
  0  0   2.88e-04
  0  0   2.92e-04
  0  0   2.98e-04
  0  0   3.08e-04
  0  0   3.22e-04
  0  0   3.44e-04
  0  0   3.73e-04
  0  0   4.09e-04
  0  0   4.48e-04
  0  0   4.79e-04
  0  0   4.88e-04
  0  0   4.65e-04
  0  0   4.21e-04
  0  0   3.72e-04
  0  0   3.19e-04
  1 16   2.53e-04
  0  0   2.53e-04
  0  0   2.53e-04
  0  0   2.53e-04
  0  0   2.54e-04
  0  0   2.54e-04
  0  0   2.55e-04
  0  0   2.57e-04
  0  0   2.59e-04
  0  0   2.63e-04
  0  0   2.68e-04
  0  0   2.77e-04
  0  0   2.89e-04
  0  0   3.07e-04
  0  0   3.32e-04
  0  0   3.63e-04
  0  0   3.96e-04
  0  0   4.22e-04
  0  0   4.28e-04
  0  0   4.07e-04
  0  0   3.68e-04
  0  0   3.31e-04
  0  0   3.09e-04
  1 17   2.15e-03
  0  0   2.15e-03
  0  0   2.15e-03
  0  0   2.15e-03
  0  0   2.15e-03
  0  0   2.15e-03
  0  0   2.15e-03
  0  0   2.15e-03
  0  0   2.15e-03
  0  0   2.15e-03
  0  0   2.15e-03
  0  0   2.15e-03
  0  0   2.16e-03
  0  0   2.16e-03
  0  0   2.17e-03
  0  0   2.19e-03
  0  0   2.22e-03
  0  0   2.26e-03
  0  0   2.33e-03
  0  0   2.43e-03
  0  0   2.58e-03
  0  0   2.81e-03
  0  0   3.11e-03
  2  6   2.83e-02
  0  0   2.83e-02
  0  0   2.83e-02
  0  0   2.83e-02
  0  0   2.83e-02
  0  0   2.83e-02
  0  0   2.83e-02
