 Spectral energy distribution at the surface of the nebula: 
   viewPoints = 
    nu [Ryd]        lambda [um]        nu*F(nu)          
                                   [erg/sec/cm^2/str]    
   2.008040      4.5380957E-02  0.0000000E+00
   2.033040      4.4822913E-02  0.0000000E+00
   2.058040      4.4278424E-02  0.0000000E+00
   2.083040      4.3747008E-02  0.0000000E+00
   2.108040      4.3228194E-02  0.0000000E+00
   2.133040      4.2721540E-02  0.0000000E+00
   2.175259      4.1892372E-02  0.0000000E+00
   2.175559      4.1886598E-02  0.0000000E+00
   2.200559      4.1410733E-02  0.0000000E+00
   2.225559      4.0945560E-02  0.0000000E+00
   2.250560      4.0490720E-02  0.0000000E+00
   2.275560      4.0045872E-02  0.0000000E+00
   2.300560      3.9610695E-02  0.0000000E+00
   2.325560      3.9184876E-02  0.0000000E+00
   2.350560      3.8768113E-02  0.0000000E+00
   2.375560      3.8360123E-02  0.0000000E+00
   2.400560      3.7960630E-02  0.0000000E+00
   2.425560      3.7569370E-02  0.0000000E+00
   2.461169      3.7025809E-02  0.0000000E+00
   2.461469      3.7021298E-02  0.0000000E+00
   2.486469      3.6649067E-02  0.0000000E+00
   2.511469      3.6284249E-02  0.0000000E+00
   2.559657      3.5601165E-02  0.0000000E+00
   2.559957      3.5596993E-02  0.0000000E+00
   2.580971      3.5307162E-02  0.0000000E+00
   2.581271      3.5303056E-02  0.0000000E+00
   2.606272      3.4964420E-02  0.0000000E+00
   2.631272      3.4632221E-02  0.0000000E+00
   2.656272      3.4306269E-02  0.0000000E+00
   2.681272      3.3986401E-02  0.0000000E+00
   2.706272      3.3672437E-02  0.0000000E+00
   2.731272      3.3364225E-02  0.0000000E+00
   2.756272      3.3061605E-02  0.0000000E+00
   2.781272      3.2764420E-02  0.0000000E+00
   2.806272      3.2472536E-02  0.0000000E+00
   2.831272      3.2185804E-02  0.0000000E+00
   2.856272      3.1904090E-02  0.0000000E+00
   2.881273      3.1627268E-02  0.0000000E+00
   2.906273      3.1355206E-02  0.0000000E+00
   2.931273      3.1087784E-02  0.0000000E+00
   2.956273      3.0824887E-02  0.0000000E+00
   2.981273      3.0566398E-02  0.0000000E+00
   3.010203      3.0272631E-02  0.0000000E+00
   3.010503      3.0269615E-02  0.0000000E+00
   3.035503      3.0020317E-02  0.0000000E+00
   3.060503      2.9775092E-02  0.0000000E+00
   3.085504      2.9533843E-02  0.0000000E+00
   3.110504      2.9296469E-02  0.0000000E+00
   3.135504      2.9062882E-02  0.0000000E+00
   3.160504      2.8832989E-02  0.0000000E+00
   3.185504      2.8606705E-02  0.0000000E+00
   3.210504      2.8383946E-02  0.0000000E+00
   3.235504      2.8164629E-02  0.0000000E+00
   3.260504      2.7948676E-02  0.0000000E+00
   3.285504      2.7736008E-02  0.0000000E+00
   3.317428      2.7469106E-02  0.0000000E+00
   3.317728      2.7466623E-02  0.0000000E+00
   3.342728      2.7261201E-02  0.0000000E+00
   3.367728      2.7058830E-02  0.0000000E+00
   3.392728      2.6859442E-02  2.4144160E-02
   3.417728      2.6662970E-02  0.0000000E+00
   3.442728      2.6469350E-02  0.0000000E+00
   3.476920      2.6209053E-02  0.0000000E+00
   3.477220      2.6206791E-02  0.0000000E+00
   3.487210      2.6131717E-02  0.0000000E+00
   3.487509      2.6129469E-02  0.0000000E+00
   3.519549      2.5891606E-02  0.0000000E+00
   3.519849      2.5889400E-02  0.0000000E+00
   3.544849      2.5706815E-02  2.5226720E-02
   3.569849      2.5526786E-02  0.0000000E+00
   3.594849      2.5349263E-02  0.0000000E+00
   3.619849      2.5174191E-02  0.0000000E+00
   3.644849      2.5001520E-02  0.0000000E+00
   3.669849      2.4831202E-02  0.0000000E+00
   3.694849      2.4663189E-02  0.0000000E+00
   3.719850      2.4497434E-02  0.0000000E+00
   3.744850      2.4333894E-02  0.0000000E+00
   3.769850      2.4172522E-02  2.6827926E-02
   3.794850      2.4013275E-02  0.0000000E+00
   3.819850      2.3856113E-02  0.0000000E+00
   3.844850      2.3700995E-02  0.0000000E+00
   3.869850      2.3547882E-02  2.7539574E-02
   3.894850      2.3396734E-02  2.7717486E-02
   3.919850      2.3247514E-02  0.0000000E+00
   3.944850      2.3100184E-02  2.8073309E-02
   3.969851      2.2954712E-02  4.7322903E-02
   3.999700      2.2783402E-02  0.0000000E+00
   4.000000      2.2781694E-02  0.0000000E+00
   4.037714      2.2568902E-02  0.0000000E+00
   4.038014      2.2567226E-02  0.0000000E+00
   4.063014      2.2428367E-02  0.0000000E+00
   4.088014      2.2291208E-02  0.0000000E+00
   4.113014      2.2155715E-02  0.0000000E+00
   4.138014      2.2021860E-02  0.0000000E+00
   4.163014      2.1889614E-02  0.0000000E+00
   4.188015      2.1758944E-02  0.0000000E+00
   4.213015      2.1629827E-02  0.0000000E+00
   4.238015      2.1502232E-02  0.0000000E+00
   4.263015      2.1376133E-02  0.0000000E+00
   4.288015      2.1251505E-02  0.0000000E+00
   4.313015      2.1128323E-02  0.0000000E+00
   4.338015      2.1006560E-02  0.0000000E+00
   4.363015      2.0886192E-02  0.0000000E+00
   4.388015      2.0767197E-02  0.0000000E+00
   4.413015      2.0649549E-02  0.0000000E+00
