

C=COMPOSITE  CL=COULOMB  OP=OP  DRK=DRAKE  FDR=FIITED DRAKE  HY=HYDROGENIC




    1  1S  TO  1P
    *************

   27   3.0548D+03  0.000  0.000  1.000  0.998  1.610
   28   2.7405D+03  0.000  0.000  1.000  0.998  1.609
   29   2.4678D+03  0.000  0.000  1.000  0.998  1.608
   30   2.2301D+03  0.000  0.000  1.000  0.998  1.607
   31   2.0220D+03  0.000  0.000  1.000  0.998  1.607
   32   1.8389D+03  0.000  0.000  1.000  0.998  1.606
   33   1.6773D+03  0.000  0.000  1.000  0.998  1.605
   34   1.5341D+03  0.000  0.000  1.000  0.998  1.605
   35   1.4067D+03  0.000  0.000  1.000  0.998  1.604
   36   1.2930D+03  0.000  0.000  1.000  0.998  1.604
   37   1.1912D+03  0.000  0.000  1.000  0.998  1.603
   38   1.0999D+03  0.000  0.000  1.000  0.998  1.603
   39   1.0176D+03  0.000  0.000  1.000  0.998  1.603
   40   9.4335D+02  0.000  0.000  1.000  0.998  1.602


    5  1S  TO  1P
    *************

   NU    COMPOSITE  DRK/C   OP/C FDR/OP   CL/C   HY/C
    5   1.8747D+04  1.000  1.000  0.000  0.999  0.000
    6   8.8149D+04  1.000  1.009  0.000  0.998  2.757
    7   7.2158D+04  1.000  1.007  0.000  0.998  2.206
    8   5.2981D+04  1.000  1.006  0.000  0.998  2.023
    9   3.8970D+04  1.000  1.006  0.000  0.998  1.931
   10   2.9201D+04  1.000  1.005  0.000  0.998  1.876
   11   2.2327D+04  0.000  1.006  1.000  0.998  1.840
   12   1.7408D+04  0.000  1.006  1.000  0.999  1.816
   13   1.3812D+04  0.000  1.006  1.000  0.999  1.798
   14   1.1131D+04  0.000  1.007  1.000  1.000  1.785
   15   9.0963D+03  0.000  1.007  1.000  1.001  1.774
   16   7.5251D+03  0.000  1.007  1.000  1.001  1.766
   17   6.2940D+03  0.000  1.008  1.000  1.001  1.759
   18   5.3162D+03  0.000  1.008  1.000  1.001  1.754
   19   4.5301D+03  0.000  1.008  1.000  1.002  1.749
   20   3.8911D+03  0.000  1.008  1.000  1.002  1.746
   21   3.3666D+03  0.000  1.008  1.000  1.002  1.742
   22   2.9320D+03  0.000  1.009  1.000  1.002  1.740
   23   2.5689D+03  0.000  1.009  1.000  1.002  1.737
   24   2.2633D+03  0.000  1.009  1.000  1.002  1.735
   25   2.0042D+03  0.000  1.009  1.000  1.003  1.733
   26   1.7831D+03  0.000  0.000  1.000  1.003  1.732
   27   1.5933D+03  0.000  0.000  1.000  1.003  1.730
   28   1.4295D+03  0.000  0.000  1.000  1.003  1.729
   29   1.2874D+03  0.000  0.000  1.000  1.003  1.728
   30   1.1635D+03  0.000  0.000  1.000  1.003  1.727
   31   1.0549D+03  0.000  0.000  1.000  1.003  1.726
   32   9.5949D+02  0.000  0.000  1.000  1.003  1.725
   33   8.7521D+02  0.000  0.000  1.000  1.003  1.724
   34   8.0050D+02  0.000  0.000  1.000  1.003  1.723
   35   7.3406D+02  0.000  0.000  1.000  1.003  1.723
   36   6.7476D+02  0.000  0.000  1.000  1.003  1.722
   37   6.2168D+02  0.000  0.000  1.000  1.003  1.722
   38   5.7402D+02  0.000  0.000  1.000  1.003  1.721
   39   5.3111D+02  0.000  0.000  1.000  1.003  1.721
   40   4.9236D+02  0.000  0.000  1.000  1.003  1.720


    6  1S  TO  1P
    *************

   NU    COMPOSITE  DRK/C   OP/C FDR/OP   CL/C   HY/C
    6   7.4358D+03  1.000  1.001  0.000  0.999  0.000
    7   3.3285D+04  1.000  1.010  0.000  0.999  2.942
    8   2.8897D+04  1.000  1.008  0.000  0.999  2.347
    9   2.2206D+04  1.000  1.006  0.000  0.999  2.148
   10   1.6940D+04  1.000  1.006  0.000  0.999  2.047
   11   1.3063D+04  0.000  1.007  0.000  1.000  1.988
   12   1.0243D+04  0.000  1.007  0.000  1.000  1.948
   13   8.1583D+03  0.000  1.006  0.000  1.000  1.919
   14   6.5926D+03  0.000  1.006  0.000  1.000  1.898
   15   5.4000D+03  0.000  1.006  0.000  1.000  1.881
   16   4.4740D+03  0.000  1.006  0.000  1.000  1.868
   17   3.7465D+03  0.000  1.006  0.000  1.000  1.857
   18   3.1675D+03  0.000  1.006  0.000  1.000  1.849
   19   2.7012D+03  0.000  1.005  0.000  1.000  1.842
   20   2.3217D+03  0.000  1.006  0.000  1.000  1.836
   21   2.0098D+03  0.000  1.006  0.000  1.000  1.831
   22   1.7512D+03  0.000  1.006  0.000  1.000  1.827
   23   1.5350D+03  0.000  1.006  0.000  1.000  1.823
   24   1.3528D+03  0.000  1.005  0.000  1.000  1.820
   25   1.1983D+03  0.000  1.006  0.000  1.000  1.817
   26   1.0664D+03  0.000  0.000  0.000  1.000  1.815
   27   9.5312D+02  0.000  0.000  0.000  1.000  1.813
   28   8.5531D+02  0.000  0.000  0.000  1.000  1.811
   29   7.7041D+02  0.000  0.000  0.000  1.000  1.809
   30   6.9637D+02  0.000  0.000  0.000  1.000  1.807
   31   6.3151D+02  0.000  0.000  0.000  1.000  1.806
   32   5.7444D+02  0.000  0.000  0.000  1.000  1.805
   33   5.2405D+02  0.000  0.000  0.000  1.000  1.804
   34   4.7937D+02  0.000  0.000  0.000  1.000  1.802
   35   4.3962D+02  0.000  0.000  0.000  1.000  1.802
   36   4.0415D+02  0.000  0.000  0.000  1.000  1.801
   37   3.7238D+02  0.000  0.000  0.000  1.000  1.800
   38   3.4386D+02  0.000  0.000  0.000  1.000  1.799
   39   3.1818D+02  0.000  0.000  0.000  1.000  1.798
   40   2.9499D+02  0.000  0.000  0.000  1.000  1.798


    7  1S  TO  1P
    *************

   NU    COMPOSITE  DRK/C   OP/C FDR/OP   CL/C   HY/C
    7   3.4061D+03  1.000  0.998  0.000  1.000  0.000
    8   1.4689D+04  1.000  1.012  0.000  0.999  3.088
    9   1.3312D+04  1.000  1.007  0.000  0.999  2.460
   10   1.0590D+04  1.000  1.007  0.000  0.999  2.249
   11   8.3061D+03  0.000  1.007  0.000  1.000  2.143
   12   6.5670D+03  0.000  1.007  0.000  1.000  2.077
   13   5.2548D+03  0.000  1.007  0.000  1.000  2.033
   14   4.2586D+03  0.000  1.006  0.000  1.000  2.001
   15   3.4946D+03  0.000  1.006  0.000  1.000  1.977
   16   2.8992D+03  0.000  1.006  0.000  1.000  1.959
   17   2.4301D+03  0.000  1.006  0.000  1.000  1.945
   18   2.0560D+03  0.000  1.005  0.000  1.000  1.933
   19   1.7543D+03  0.000  1.006  0.000  1.000  1.924
   20   1.5085D+03  0.000  1.006  0.000  1.000  1.916
   21   1.3063D+03  0.000  1.006  0.000  1.000  1.909
   22   1.1385D+03  0.000  1.006  0.000  1.000  1.903
   23   9.9816D+02  0.000  1.006  0.000  1.000  1.898
   24   8.7987D+02  0.000  1.006  0.000  1.000  1.894
   25   7.7951D+02  0.000  1.006  0.000  1.000  1.891
   26   6.9380D+02  0.000  0.000  0.000  1.000  1.887
