   95.0  0.  2.15E-08  1.5400  0.11
  119.3  1.  3.65E-09  0.1470  0.37
  194.5  1.  3.91E-09  0.6990  0.15
  221.8  1.  2.92E-09  0.7190  0.15
  248.3  1.  2.23E-09  0.8060  0.14
  286.0  1.  1.39E-09  0.7350  0.16
  314.4  1.  1.04E-09  0.7610  0.15
  343.6  1.  8.28E-10  0.8090  0.13
  403.0  1.  5.60E-10  0.7870  0.14
  435.2  1.  1.52E-10  0.2990  0.08
 1133.0  1.  4.03E-10  1.0400  0.11
 1244.0  1.  2.74E-10  0.9230  0.14
 1317.0  1.  2.18E-10  0.9900  0.14
 1437.0  1.  1.49E-10  0.9680  0.13
 1539.0  1.  8.70E-11  0.8020  0.15
 1644.0  0.  1.02E-10  1.2200  0.35
 1788.0  1.  2.54E-11  0.8830  0.13
 1880.0  0.  1.28E-11  0.0330  0.81
 8141.0  1.  2.77E-12  1.0100  0.02
 8571.9  1.  1.32E-12  0.2190  0.37
    7.9  0.  2.52E-07  0.7010  0.25
   16.2  1.  2.21E-08  0.0330  0.45
   30.6  0.  4.10E-08  0.3660  0.17
   54.8  0.  3.53E-08  0.2430  0.39
   75.0  1.  1.04E-08  0.2850  0.17
   99.0  1.  1.23E-08  0.4110  0.21
  125.0  1.  9.47E-09  0.4580  0.21
  151.1  1.  4.71E-09  0.2800  0.28
  233.6  1.  3.02E-09  0.6970  0.15
  262.1  1.  2.34E-09  0.7640  0.14
  290.0  1.  1.76E-09  0.8050  0.14
  331.0  1.  1.14E-09  0.7730  0.15
  361.0  1.  8.66E-10  0.8050  0.14
  392.0  1.  6.61E-10  0.7620  0.14
  457.0  1.  4.41E-10  0.6980  0.16
  489.3  1.  1.18E-10  0.2110  0.15
 1262.0  1.  3.61E-10  1.1600  0.09
 1360.0  1.  2.45E-10  0.9780  0.13
 1470.0  1.  1.87E-10  0.9880  0.14
 1582.0  1.  1.33E-10  1.0300  0.12
 1690.0  1.  7.84E-11  0.8480  0.14
 1800.0  0.  8.90E-11  1.2000  0.35
 1960.0  1.  2.29E-11  0.9360  0.12
 2046.0  0.  1.12E-11  0.0340  0.81
 8828.0  1.  2.46E-12  1.0200  0.02
 9277.7  1.  9.79E-13  0.6640  0.14
    7.9  1.  8.89E-08  0.1270  0.24
   17.1  1.  5.65E-08  0.1940  0.23
   33.5  1.  3.06E-08  0.2010  0.22
   51.3  0.  2.27E-08  0.5740  0.10
   79.5  0.  1.93E-08  0.1950  0.42
  102.0  0.  1.27E-08  0.1260  0.47
  129.0  1.  3.58E-09  0.1940  0.29
  158.0  0.  1.17E-08  1.9800  0.07
  186.1  1.  1.78E-09  0.1120  0.42
  275.0  1.  2.41E-09  0.7390  0.14
  305.0  1.  1.86E-09  0.7620  0.14
  336.0  1.  1.41E-09  0.8040  0.14
  379.0  1.  9.54E-10  0.8130  0.14
  411.0  1.  7.12E-10  0.8030  0.14
  444.0  1.  5.34E-10  0.7180  0.15
  512.0  1.  3.62E-10  0.6580  0.17
  546.6  1.  1.05E-10  0.2520  0.12
 1397.0  1.  3.10E-10  1.1700  0.09
 1486.0  1.  1.56E-10  0.5720  0.15
 1603.0  1.  1.32E-10  0.6820  0.13
 1735.0  1.  9.08E-11  0.5110  0.17
 1846.0  0.  3.45E-10  2.8400  0.11
 1962.0  1.  5.01E-11  0.7140  0.11
 2119.0  1.  1.92E-11  0.1170  0.42
 2219.0  1.  1.95E-11  1.2000  0.00
 9544.0  0.  1.68E-11  3.5200  0.05
10012.1  1.  1.45E-12  0.6350  0.15
    7.6  0.  1.65E-07  0.4520  0.28
   18.2  0.  8.42E-08  0.6190  0.16
